,Unnamed: 0,Unnamed: 0.1,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,FIPS,Last_Update,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
129,129,129,"Saratoga County, NY",US,43.0324,-73.936,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
130,130,130,"Charleston County, SC",US,32.7957,-79.7848,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
131,131,131,"Clark County, WA",US,45.7466,-122.5194,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
132,132,132,"Cobb County, GA",US,33.8999,-84.5641,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
133,133,133,"Davis County, UT",US,40.9629,-112.0953,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
134,134,134,"El Paso County, CO",US,38.9108,-104.4723,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
135,135,135,"Honolulu County, HI",US,21.307,-157.8584,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
136,136,136,"Jackson County, OR ",US,42.3345,-122.7647,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
137,137,137,"Jefferson County, WA",US,47.7425,-123.304,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
138,138,138,"Kershaw County, SC",US,34.3672,-80.5883,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
139,139,139,"Klamath County, OR",US,42.6953,-121.6142,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
140,140,140,"Madera County, CA",US,37.2519,-119.6963,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
141,141,141,"Pierce County, WA",US,47.0676,-122.1295,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
142,142,142,"Tulsa County, OK",US,36.1593,-95.941,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
143,143,143,"Douglas County, CO",US,39.2587,-104.9389,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
144,144,144,"Providence County, RI",US,41.8882,-71.4774,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
145,145,145,"Chatham County, NC",US,35.7211,-79.1781,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
146,146,146,"Delaware County, PA",US,39.9078,-75.3879,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
147,147,147,"Douglas County, NE",US,41.3148,-96.1951,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
148,148,148,"Fayette County, KY",US,38.0606,-84.4803,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
149,149,149,"Marion County, IN",US,39.8362,-86.1752,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
150,150,150,"Middlesex County, MA",US,42.4672,-71.2874,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
151,151,151,"Nassau County, NY",US,40.6546,-73.5594,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
152,152,152,"Ramsey County, MN",US,44.9964,-93.0616,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
153,153,153,"Washoe County, NV",US,40.5608,-119.6035,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
154,154,154,"Wayne County, PA",US,41.6739,-75.2479,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
155,155,155,"Yolo County, CA",US,38.7646,-121.9018,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
156,156,156,"Santa Clara County, CA",US,37.3541,-121.9552,2020-02-01,1.0,0.0,0.0,,,,,,,,,,,
157,157,157,"Clark County, NV",US,36.0796,-115.094,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
158,158,158,"Fort Bend County, TX",US,29.5693,-95.8143,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
159,159,159,"Grant County, WA",US,47.1981,-119.3732,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
160,160,160,"Santa Rosa County, FL",US,30.769,-86.9824,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
161,161,161,"Williamson County, TN",US,35.9179,-86.8622,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
162,162,162,"New York County, NY",US,40.7128,-74.006,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
163,163,163,"Montgomery County, MD",US,39.1547,-77.2405,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
164,164,164,"Suffolk County, MA",US,42.3601,-71.0589,2020-02-01,1.0,0.0,0.0,,,,,,,,,,,
165,165,165,"Denver County, CO",US,39.7392,-104.9903,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
166,166,166,"Summit County, CO",US,39.5912,-106.064,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
167,167,167,"Bergen County, NJ",US,40.9263,-74.077,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
168,168,168,"Harris County, TX",US,29.7752,-95.3103,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
169,169,169,"San Francisco County, CA",US,37.7749,-122.4194,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
170,170,170,"Contra Costa County, CA",US,37.8534,-121.9018,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
171,171,171,"Orange County, CA",US,33.7879,-117.8531,2020-02-01,1.0,0.0,0.0,,,,,,,,,,,
172,172,172,"Norfolk County, MA",US,42.1767,-71.1449,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
173,173,173,"Maricopa County, AZ",US,33.2918,-112.4291,2020-02-01,1.0,0.0,0.0,,,,,,,,,,,
174,174,174,"Wake County, NC",US,35.8032,-78.5661,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
175,175,175,"Westchester County, NY",US,41.122,-73.7949,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
176,176,176,"Grafton County, NH",US,43.9088,-71.82600000000002,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
177,177,177,"Hillsborough, FL",US,27.9904,-82.3018,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
178,178,178,"Placer County, CA",US,39.0916,-120.8039,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
179,179,179,"San Mateo, CA",US,37.563,-122.3255,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
180,180,180,"Sonoma County, CA",US,38.578,-122.9888,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
181,181,181,"Umatilla, OR",US,45.775,-118.7606,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
182,182,182,"Fulton County, GA",US,33.8034,-84.3963,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
183,183,183,"Washington County, OR",US,45.547,-123.1386,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
184,184,184,"Snohomish County, WA",US,48.033,-121.8339,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
185,185,185,"Humboldt County, CA",US,40.745,-123.8695,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
186,186,186,"Sacramento County, CA",US,38.4747,-121.3542,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
187,187,187,"San Diego County, CA",US,32.7157,-117.1611,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
188,188,188,"San Benito, CA",US,36.5761,-120.9876,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
189,189,189,"Los Angeles, CA",US,34.0522,-118.2437,2020-02-01,1.0,0.0,0.0,,,,,,,,,,,
190,190,190,"King County, WA",US,47.6062,-122.3321,2020-02-01,1.0,0.0,0.0,,,,,,,,,,,
191,191,191,"Cook County, IL",US,41.7377,-87.6976,2020-02-01,2.0,0.0,0.0,,,,,,,,,,,
192,192,192,"Skagit, WA",US,48.4242,-121.7114,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
193,193,193,"Thurston, WA",US,46.8646,-122.7696,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
194,194,194,"Island, WA",US,48.1976,-122.5795,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
195,195,195,"Whatcom, WA",US,48.8787,-121.9719,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
196,196,196,"Marin, CA",US,38.0834,-122.7633,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
197,197,197,"Calaveras, CA",US,38.196,-120.6805,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
198,198,198,"Stanislaus, CA",US,37.5091,-120.9876,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
199,199,199,"San Joaquin, CA",US,36.6066,-120.189,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
200,200,200,"Essex, MA",US,42.632,-70.7829,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
201,201,201,"Charlton, GA",US,30.7917,-82.0843,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
202,202,202,"Collier, FL",US,26.07,-81.4279,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
203,203,203,"Pinellas, FL",US,27.8764,-82.7779,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
